X	SMILES	REFIDX_R	REFIDX_G	REFIDX_B	Molecular.Weight	Molecular.Weight.Except.Hydrogens	Maximum.Partial.Charge	Minimum.Partial.Charge	Number.of.Labute.Accessible.Surface.Area	Number.of.Topological.Polar.Surface.Area	Number.of.Aromatic.Carbocycles	Number.of.Aromatic.Heterocycles	Number.of.H.bond.Acceptor	Number.of.Lipinski.H.bond.Acceptor	Number.of.Heteroatoms
360	ClC1=CC=C2C(=C1)C1=C(C=CC(Cl)=C1)C1=C2N=C(C2=NC(C3=NC4=C(O3)C3=C(C=CC=C3)C3=CC=CC=C34)=NC(C3=NC4=CC=C(Br)C=C4S3)=N2)S1	2.0026	2.331	2.6601	809.9465686	795.425	0.265765777	-0.432842986	319.2413612	90.48	7	4	0	0	12
361	ClC1=CC2=C(C=C1)C1=C(SC(C3=NC(C4=NC5=C(S4)C4=CC=CC=C4C4=C5C=CC(Br)=C4)=NC(C4=NC5=CC=C(Br)C=C5S4)=N3)=N1)C1=CC=CC=C21	2.0137	2.3308	2.6395	869.8732094	855.944	0.192563441	-0.232623517	327.6516766	77.34	7	4	0	0	12
362	ClC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=CC=CC=C3C3=C4C=CC(I)=C3)=NC(C3=NC4=C(O3)C3=CC=CC=C3C3=C4C=CC=C3)=N2)S1	2.004	2.3307	2.6561	924.002977	903.06	0.265765777	-0.432842986	359.6957146	90.48	9	4	0	0	11
363	ClC1=CC=C2SC(C3=NC(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)=NC(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)=N3)=NC2=C1	2.0086	2.3306	2.6535	1025.694234	1015.752	0.192563441	-0.232569545	355.3867718	77.34	7	4	0	0	14
364	ClC1=CC=C2C(=C1)C1=C(C=CC(Cl)=C1)C1=C2N=C(C2=NC(C3=NC4=CC=C(Br)C=C4S3)=NC(C3=NC4=C(S3)C3=C(C=CC=C3)C3=CC(Br)=CC=C34)=N2)S1	2.0096	2.33	2.6452	903.8342371	891.397	0.192563441	-0.232623517	337.9549428	77.34	7	4	0	0	13
365	BrC1=CC=C(N(C2=CC=C(C3=NC4=C(O3)C3=CC=CC=C3C3=C4C=CC=C3)C=C2)C2=CC=C(C3=NC4=C(O3)C3=CC=CC=C3C3=C4C=CC=C3)C=C2)C=C1	1.9877	2.3297	2.6852	757.1364892	730.451	0.226864211	-0.43540916	317.4051029	55.3	9	2	0	0	6
366	ClC1=CC=C2C(=C1)C1=CC(Cl)=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(O3)C3=C(C=CC=C3)C3=CC=CC=C34)=NC(C3=NC4=C(O3)C3=C(C=CC=C3)C3=CC=CC=C34)=N2)S1	1.9973	2.3292	2.6636	816.0902003	795.541	0.265767059	-0.432842979	345.8911087	103.62	9	4	0	0	11
367	IC1=CC=C2C(=C1)C1=CC(I)=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(O3)C3=C(C=CC=C3)C3=CC=CC=C34)=NC(C3=NC4=C(S3)C3=C(C=CC=C3)C3=CC=CC=C34)=N2)S1	1.9938	2.329	2.675	1015.938597	994.511	0.265765777	-0.432842986	368.6542865	90.48	9	4	0	0	11
368	BrC1=CC=C2C(=C1)C1=CC(Br)=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=C(C=C(Br)C=C3)C3=CC(Br)=CC=C34)=NC(C3=NC4=C(C=CC=C4)S3)=N2)S1	2.0101	2.329	2.6415	991.7332059	980.299	0.192563441	-0.232624896	345.0835056	77.34	7	4	0	0	13
369	IC1=CC=C(N(C2=CC=C(C3=NC4=C(C=CC=C4)S3)C=C2)C2=CC=C(C3=NC4=C(S3)C3=CC=CC=C3C3=C4C=CC=C3)C=C2)C=C1	1.9797	2.3281	2.7142	737.0456378	713.499	0.124153376	-0.310503931	287.1281324	29.02	7	2	0	0	6
